openmicroscopy	22316866		0sec	23767	0.0010649792851738233		30sec	295352	0.013234474768993101		1min	458634	0.020551003890958524		5min	2437729	0.10923258669026377		10min	1722713	0.07719332096182323		>10min	17368648	0.7782745122007723				
elasticsearch	5854936		0sec	12515	0.0021375126901472534		30sec	211190	0.03607041989869744		1min	125255	0.021393060487766218		5min	678417	0.11587095059621488		10min	531105	0.09071064141435534		>10min	4272588	0.7297411961462943				
presto	84214		0sec	30267	0.3594057995107702		30sec	1934	0.0229653026812644		1min	845	0.010033961099104661		5min	3121	0.03706034626071675		10min	3434	0.04077706794594723		>10min	37351	0.443524829600779				
bioformats	3142247		0sec	8680	0.0027623544552672023		30sec	35918	0.011430673654871817		1min	75053	0.02388513697363702		5min	249273	0.07932953711150015		10min	119261	0.03795405007944951		>10min	2652104	0.844015126754835				
netty	71834		0sec	524	0.007294595873820197		30sec	2219	0.030890664587799647		1min	743	0.010343291477573294		5min	5605	0.07802711807779046		10min	4803	0.06686248851518779		>10min	57774	0.8042709580421528				
mifosx	77911		0sec	44	0.0005647469548587491		30sec	450	0.005775821129237206		1min	397	0.005095557751793713		5min	7496	0.09621234485502689		10min	2734	0.03509132214963227		>10min	66535	0.8539872418528834				
CONNECT	1305197		0sec	1876	0.0014373309163291058		30sec	33006	0.02528813658014844		1min	13718	0.010510290783690125		5min	143912	0.11026074990978374		10min	113189	0.08672177456736416		>10min	998989	0.7653932701346999				
WordPress-Android	3262327		0sec	705683	0.21631277306045654		30sec	145506	0.04460190532708708		1min	99328	0.030446978491119988		5min	310056	0.09504136158024624		10min	236261	0.07242100500654901		>10min	1754974	0.5379515909962429				
geoserver	396169		0sec	2498	0.006305389871494236		30sec	4577	0.011553150296969223		1min	9844	0.02484798154323029		5min	30387	0.07670211450163945		10min	14669	0.03702712731182904		>10min	333449	0.8416837258846603				
Malhar	224312		0sec	3953	0.017622775419950783		30sec	7577	0.03377884375334356		1min	2526	0.011261100609864832		5min	21074	0.0939494989122294		10min	11548	0.05148186454581119		>10min	177386	0.7908003138485681				
okhttp	22472		0sec	16	0.000711997152011392		30sec	1061	0.04721431114275543		1min	443	0.019713421146315416		5min	1544	0.06870772516909933		10min	1360	0.060519757920968316		>10min	18033	0.8024652901388395				
core	955143		0sec	22173	0.02321432497542253		30sec	122824	0.12859226314803124		1min	41264	0.043201907986552796		5min	127992	0.1340029712828341		10min	53432	0.0559413616599818		>10min	548318	0.5740690137497736				
MozStumbler	19880		0sec	492	0.024748490945674044		30sec	345	0.017354124748490945		1min	416	0.020925553319919517		5min	1872	0.09416498993963783		10min	2117	0.10648893360160966		>10min	14562	0.7324949698189135				
BuildCraft	770408		0sec	191	0.00024792058234078567		30sec	14141	0.0183552091878589		1min	16434	0.021331554189468437		5min	59705	0.07749789721809743		10min	39799	0.05165964008681114		>10min	640050	0.8307935535456538				
DSpace	606370		0sec	7348	0.012118013753978593		30sec	21907	0.03612810660157989		1min	13778	0.022722100367762257		5min	39390	0.06496033774757987		10min	26030	0.04292758546761878		>10min	497299	0.8201246763527219				
Essentials	59882		0sec	200	0.0033399018068868773		30sec	617	0.010303597074246017		1min	539	0.009001035369560135		5min	4716	0.07875488460639257		10min	3565	0.05953374970775859		>10min	50127	0.8370962893690925				
ead	86700		0sec	2211	0.025501730103806228		30sec	3410	0.03933102652825836		1min	3245	0.03742791234140715		5min	10815	0.12474048442906574		10min	8381	0.09666666666666666		>10min	58055	0.6696078431372549				
