Id,proj_id,repo_name,owner_login,language,n_pr,n_ci_after,n_ci_after_tested
2,6,cocos2d-x,cocos2d,C++,8153,5837,3280
8,3275,Baystation12,Baystation12,C++,4533,1720,1668
19,1350237,ppsspp,hrydgard,C++,3926,1301,1289
23,17694,ceph,ceph,C++,2892,1636,1
25,864,bitcoin,bitcoin,C++,3463,372,352
52,1717,TrinityCore,TrinityCore,C++,2244,217,204
66,11117,shogun,shogun-toolbox,C++,1984,1251,1221
74,3276602,livecode,runrev,C++,1454,0,0
93,1227,MuseScore,musescore,C++,1427,1389,1329
119,5831963,hhvm,facebook,C++,1232,1167,1112
145,1926083,pokemon-online,po-devs,C++,1102,526,516
176,3459504,pdns,PowerDNS,C++,741,734,728
195,29522,libzmq,zeromq,C++,876,522,517
271,7294393,lmms,LMMS,C++,471,447,436
274,6876142,caffe,BVLC,C++,583,287,278
280,2122,phantomjs,ariya,C++,659,155,43
283,5465315,rippled,ripple,C++,515,435,423
292,49876,qreal,qreal,C++,626,481,467
309,1941762,rpcs3,DHrpcs3,C++,506,349,341
328,4388,ninja,martine,C++,578,187,186
332,2546020,stan,stan-dev,C++,550,413,1
347,3934776,qt-client,xtuple,C++,536,129,123
348,156798,DGtal,DGtal-team,C++,583,344,323
392,39075,cppcheck,danmar,C++,457,351,348
423,8221199,openmw,OpenMW,C++,352,330,323
448,153369,ogs,ufz,C++,393,386,384
449,20562,PDAL,PDAL,C++,319,292,287
455,4403964,forgottenserver,otland,C++,417,415,407
476,4612733,OpenStudio,NREL,C++,384,235,1
490,13546,nbites,northern-bites,C++,424,156,61
491,7289481,OpenMS,OpenMS,C++,298,286,279
500,10224575,opentxs,Open-Transactions,C++,290,288,154
501,9422,fish-shell,fish-shell,C++,398,102,101
534,8721,openscad,openscad,C++,330,194,154
548,8423,znc,znc,C++,302,220,216
558,62421,taglib,taglib,C++,358,286,284
564,28376,qupzilla,QupZilla,C++,363,47,46
575,202631,oce,tpaviot,C++,366,46,45
593,8246028,wesnoth,wesnoth,C++,321,297,289
603,31472,jubatus,jubatus,C++,328,320,239
646,21721,leechcraft,0xd34df00d,C++,327,95,42
650,13127,thrift,apache,C++,235,163,156
653,59074,avian,ReadyTalk,C++,292,269,266
658,4612,mapnik,mapnik,C++,286,216,203
667,1349059,ledger,ledger,C++,250,85,84
747,164139,cpputest,cpputest,C++,258,243,240
753,3795273,doxygen,doxygen,C++,227,220,218
766,2281158,openfluid,OpenFLUID,C++,243,52,49
775,194456,opengm,opengm,C++,261,169,164
818,1874305,moveit_ros,ros-planning,C++,228,110,98
846,43061,supercollider,supercollider,C++,210,38,32
863,6842298,Mudlet,Mudlet,C++,212,200,193
897,28204,YouCompleteMe,Valloric,C++,202,152,150
911,515933,ros_comm,ros,C++,205,168,1
913,4735,tiled,bjorn,C++,198,128,126
