Id,proj_id,repo_name,owner_login,language,n_pr,n_ci_after,n_ci_after_tested
30,67874,openmicroscopy,openmicroscopy,Java,3158,2592,2187
35,4095,elasticsearch,elasticsearch,Java,2732,2477,64
68,6260617,presto,facebook,Java,1654,822,808
107,807,bioformats,openmicroscopy,Java,1389,1080,1065
130,340,netty,netty,Java,1133,726,3
137,2647582,mifosx,openMF,Java,1127,1003,977
171,26423,CONNECT,CONNECT-Solution,Java,958,321,12
182,2398573,WordPress-Android,wordpress-mobile,Java,794,769,54
192,5516,geoserver,geoserver,Java,804,465,357
207,4931722,Malhar,DataTorrent,Java,747,728,714
208,5210,okhttp,square,Java,737,696,687
212,15806,core,weld,Java,718,149,134
214,6821558,MozStumbler,mozilla,Java,694,683,670
218,2302110,BuildCraft,BuildCraft,Java,784,167,165
235,37843,DSpace,DSpace,Java,692,435,423
251,4143,Essentials,essentials,Java,760,363,347
256,6669384,ead,e-ucm,Java,610,601,594
258,21597,geotools,geotools,Java,585,306,249
266,7036767,droidplanner,DroidPlanner,Java,667,248,244
290,3821279,zanata-server,zanata,Java,630,627,20
295,5778207,vraptor4,caelum,Java,645,482,474
303,1711636,cat,dianping,Java,562,417,413
312,9686313,fcrepo4,fcrepo4,Java,562,562,550
350,9459,cas,Jasig,Java,524,222,214
373,937,grails-core,grails,Java,535,49,35
379,11624199,fizteh-java-2014,dkomanov,Java,328,268,252
380,5402577,dropwizard,dropwizard,Java,483,269,255
387,2561674,junit,junit-team,Java,505,58,55
396,2315,Spout,SpoutDev,Java,526,47,46
409,9119157,BridgePF,Sage-Bionetworks,Java,307,304,60
410,70480,uPortal,Jasig,Java,455,315,223
413,4898514,aerogear-unifiedpush-server,aerogear,Java,428,428,417
421,6304519,jcabi-github,jcabi,Java,460,102,100
438,1029082,picketlink,picketlink,Java,432,240,70
454,158585,XChange,timmolter,Java,383,358,346
457,54701,lorsource,maxcom,Java,441,196,196
465,13347,orbisgis,irstv,Java,426,90,88
469,4141934,mev,dfci-cccb,Java,431,430,415
475,3542506,windup,windup,Java,299,52,1
499,5769828,stratosphere,stratosphere,Java,421,407,350
529,5047916,blueflood,rackerlabs,Java,357,297,292
539,1960221,deegree3,deegree,Java,365,141,112
540,2281,gradle,gradle,Java,345,92,91
562,8725128,tajo,apache,Java,232,225,222
582,11821,androidannotations,excilys,Java,347,56,56
585,692866,GWTP,ArcBees,Java,314,0,0
598,22616,retrofit,square,Java,332,274,272
617,3235578,H2GIS,irstv,Java,313,285,266
626,10088234,helios,spotify,Java,246,245,114
628,1373571,lodmill,lobid,Java,312,312,310
651,3173796,exist,eXist-db,Java,269,260,257
652,48764,cucumber-jvm,cucumber,Java,319,244,186
654,13573,bnd,bndtools,Java,223,104,97
660,36569,platform,proofpoint,Java,283,3,3
662,934,jedis,xetorthio,Java,274,97,95
680,3720099,picasso,square,Java,278,118,118
682,6494034,bitcoinj,bitcoinj,Java,265,92,92
690,6717841,kite,kite-sdk,Java,241,241,238
700,24428,riak-java-client,basho,Java,304,216,31
712,696536,seqware,SeqWare,Java,272,0,0
718,3055228,parquet-mr,Parquet,Java,295,287,286
729,546037,android,owncloud,Java,239,139,139
748,9840,mongo-java-driver,mongodb,Java,270,181,169
770,34,android,github,Java,194,107,105
776,849289,georchestra,georchestra,Java,254,189,178
815,857627,dagger,square,Java,246,209,201
820,288694,airlift,airlift,Java,224,101,100
825,26697,mcMMO,mcMMO-Dev,Java,241,106,26
833,147,ActionBarSherlock,JakeWharton,Java,245,120,117
840,3183404,commafeed,Athou,Java,233,12,11
848,8016,android-async-http,loopj,Java,224,118,110
852,85135,atlas-model,atlasapi,Java,229,26,25
854,6413,commons,twitter,Java,228,172,170
877,127064,Hydra,Findwise,Java,219,109,107
878,7317,scribe-java,fernandezpablo85,Java,226,141,103
899,68256,logback,qos-ch,Java,204,0,0
915,1721268,crawljax,crawljax,Java,205,202,23
