Id,proj_id,repo_name,owner_login,language,n_pr,n_ci_after,n_ci_after_tested
10,4708601,bootstrap,twbs,JavaScript,4560,3689,3311
12,37,angular.js,angular,JavaScript,4567,3942,3870
18,392,brackets,adobe,JavaScript,4149,2923,2847
22,23995,cdnjs,cdnjs,JavaScript,3500,3222,2976
28,157,wet-boew,wet-boew,JavaScript,3495,3431,3345
29,540,ember.js,emberjs,JavaScript,3121,2778,2737
36,1018,node,joyent,JavaScript,3125,2390,7
39,1321133,DefinitelyTyped,borisyankov,JavaScript,2483,2267,2221
41,2539527,discourse,discourse,JavaScript,2539,2503,2461
44,3137,pdf.js,mozilla,JavaScript,2575,1348,1337
53,5768596,Ghost,TryGhost,JavaScript,2071,1606,1467
60,4523,melpa,milkypostman,JavaScript,1824,1463,1444
61,18411,ol3,openlayers,JavaScript,2053,2037,2018
70,2620049,xtuple,xtuple,JavaScript,1863,788,775
72,7788191,moonstone,enyojs,JavaScript,1751,659,641
75,3516,jquery-mobile,jquery,JavaScript,1839,465,439
83,8932041,pouchdb,pouchdb,JavaScript,1412,1379,1248
85,2254769,appium,appium,JavaScript,1669,1669,1639
87,6313,jquery,jquery,JavaScript,1685,325,308
89,3905191,react,facebook,JavaScript,1305,1297,1273
91,213,butter,mozilla,JavaScript,1642,594,574
96,1920336,SocialSDK,OpenNTF,JavaScript,1555,580,567
104,2831,cesium,AnalyticalGraphicsInc,JavaScript,1375,803,800
105,434,data,emberjs,JavaScript,1330,1211,1116
106,4376708,backbone,jashkenas,JavaScript,1428,649,630
110,3087647,web-platform-tests,w3c,JavaScript,1241,337,333
111,514257,bluebottle,onepercentclub,JavaScript,1151,1151,1111
113,11703554,code-dot-org,code-dot-org,JavaScript,382,315,309
115,3644,jquery-ui,jquery,JavaScript,1373,371,362
117,4567,Pokemon-Showdown,Zarel,JavaScript,1186,145,143
141,10408,khan-exercises,Khan,JavaScript,1189,16,16
143,27903,mwEmbed,kaltura,JavaScript,805,643,0
144,683351,backbone.marionette,marionettejs,JavaScript,1031,922,893
147,21352,mozillians,mozilla,JavaScript,1093,8,8
153,1996840,Leaflet,Leaflet,JavaScript,1068,624,459
159,55,yui3,yui,JavaScript,1094,979,816
160,1394906,etherpad-lite,ether,JavaScript,990,525,510
162,20629,ace,ajaxorg,JavaScript,1035,809,624
163,1127,zeroclickinfo-spice,duckduckgo,JavaScript,889,782,765
164,4216758,ripple-client,ripple,JavaScript,631,620,609
165,6189264,cockpit,cockpit-project,JavaScript,803,622,586
166,4376706,underscore,jashkenas,JavaScript,979,570,560
170,3701929,kibana,elasticsearch,JavaScript,606,71,64
173,2254820,locawebstyle,locaweb,JavaScript,937,654,428
175,3665,mojito,yahoo,JavaScript,1005,790,729
178,2605913,ezpublish-legacy,ezsystems,JavaScript,961,486,480
185,760,enyo,enyojs,JavaScript,850,621,616
186,2989453,sequelize,sequelize,JavaScript,807,641,630
199,6126301,community-app,openMF,JavaScript,808,392,377
200,5627076,spotlight,alphagov,JavaScript,836,834,817
201,866,geonode,GeoNode,JavaScript,782,558,473
203,6422123,fxa-content-server,mozilla,JavaScript,787,769,761
209,7332776,eslint,eslint,JavaScript,681,681,678
211,8017495,plottable,palantir,JavaScript,609,570,542
220,1043143,bootstrap,angular-ui,JavaScript,821,820,788
223,3231545,traceur-compiler,google,JavaScript,699,673,666
225,5828347,habitrpg,HabitRPG,JavaScript,696,449,437
228,362972,class2go,Stanford-Online,JavaScript,822,177,176
231,12507,ariatemplates,ariatemplates,JavaScript,755,698,690
234,7212135,npm,npm,JavaScript,684,587,190
237,1531853,aodn-portal,aodn,JavaScript,712,703,690
238,6700,ares-project,enyojs,JavaScript,793,326,319
241,4821874,bem-components,bem,JavaScript,617,445,437
