Id,proj_id,repo_name,owner_login,language,n_pr,n_ci_after,n_ci_after_tested
4,634,symfony,symfony,PHP,7618,5675,4284
5,1360482,app,Wikia,PHP,5288,1445,1339
6,183,zf2,zendframework,PHP,5107,4026,3304
7,524804,core,owncloud,PHP,4471,1205,184
13,2184,joomla-cms,joomla,PHP,4254,3267,2985
21,9316,cakephp,cakephp,PHP,3454,2802,2143
24,1992097,framework,laravel,PHP,2965,2963,2908
34,114167,phpbb,phpbb,PHP,3102,2456,2255
43,3750617,silverstripe-framework,silverstripe,PHP,2614,1116,1099
47,4936,processmaker,colosa,PHP,2542,526,12
50,14364,dolibarr,Dolibarr,PHP,1994,777,749
51,1528221,PrestaShop,PrestaShop,PHP,2139,0,0
58,15762,woocommerce,woothemes,PHP,1987,182,178
62,5482310,pim-community-dev,akeneo,PHP,1683,919,905
73,3227,Elgg,Elgg,PHP,1624,1466,971
77,2558,foundation,zurb,PHP,1704,857,0
86,1165,concrete5,concrete5,PHP,1698,308,300
90,4516,laravel,laravel,PHP,1480,808,242
97,1207,pyrocms,pyrocms,PHP,1566,946,427
98,21416,SonataAdminBundle,sonata-project,PHP,1484,1252,896
100,24444,phpmyadmin,phpmyadmin,PHP,1395,1299,1238
116,7414180,CM,cargomedia,PHP,1259,421,417
118,174642,Sylius,Sylius,PHP,1225,1224,1166
125,1888930,Elkarte,elkarte,PHP,1279,594,570
129,6806,composer,composer,PHP,1194,1146,835
131,3245727,Easy-Digital-Downloads,easydigitaldownloads,PHP,1094,683,652
132,27319,doctrine2,doctrine,PHP,1155,975,793
138,346,Phraseanet,alchemy-fr,PHP,1148,1132,1057
139,152908,core,zikula,PHP,1103,1017,890
146,2640548,ezpublish-kernel,ezsystems,PHP,1058,833,817
150,6849,wet-boew-drupal,wet-boew,PHP,1075,1074,922
169,21496,WCF,WoltLab,PHP,1004,430,422
189,938650,Change,RBSChange,PHP,918,917,911
194,7509659,php-mpos,MPOS,PHP,927,0,0
213,4453,nette,nette,PHP,864,449,439
215,31402,dokuwiki,splitbrain,PHP,779,293,290
217,9316280,concrete5-5.7.0,concrete5,PHP,620,552,534
219,76001,UNL_UndergraduateBulletin,unl,PHP,629,521,499
222,3207718,FrameworkBenchmarks,TechEmpower,PHP,754,163,135
239,23202,forkcms,forkcms,PHP,700,0,0
243,1219597,arcavias-core,Arcavias,PHP,776,775,765
245,37731,dbal,doctrine,PHP,713,642,561
250,9384,wp-cli,wp-cli,PHP,683,545,541
267,48889,lithium,UnionOfRAD,PHP,727,552,365
279,3136825,thelia,thelia,PHP,486,485,474
284,11450,piwik,piwik,PHP,529,516,504
293,715412,WP-e-Commerce,wp-e-commerce,PHP,629,0,0
294,11387,Codeception,Codeception,PHP,596,596,561
330,7415,mit-license,remy,PHP,567,65,64
337,2911219,gaia,CroceRossaCatania,PHP,496,77,5
374,1856,MopaBootstrapBundle,phiamo,PHP,527,522,384
377,54171,core,kohana,PHP,530,8,8
386,11975,symfony-standard,symfony,PHP,511,62,26
390,3296255,chamilo-lms,chamilo,PHP,424,246,218
395,1802891,ilios,ilios,PHP,503,438,426
403,6086,silverstripe-cms,silverstripe,PHP,514,301,294
414,2696,phpunit,sebastianbergmann,PHP,454,233,227
416,44168,mongodb-odm,doctrine,PHP,481,321,234
428,26666,Elastica,ruflin,PHP,435,354,258
433,3123774,vhs,FluidTYPO3,PHP,446,356,353
445,45584,gallery3,gallery,PHP,468,277,51
447,5911126,sulu,sulu-cmf,PHP,286,286,282
451,8249,FOSRestBundle,FriendsOfSymfony,PHP,416,349,279
453,8717081,DoctrineExtensions,Atlantic18,PHP,443,354,277
456,46959,phpcr-odm,doctrine,PHP,447,368,310
464,4251,phpDocumentor2,phpDocumentor,PHP,427,346,269
468,101993,AdmingeneratorGeneratorBundle,symfony2admingenerator,PHP,432,305,282
477,18104,guzzle,guzzle,PHP,410,409,361
478,24524,atk4,atk4,PHP,412,176,173
483,11744,Propel2,propelorm,PHP,400,322,271
488,20701,mantisbt,mantisbt,PHP,401,327,317
489,3150169,flux,FluidTYPO3,PHP,402,287,282
498,5754,_s,Automattic,PHP,400,33,32
507,4804053,wordpress-seo,Yoast,PHP,337,322,318
516,86988,ojs,pkp,PHP,332,219,201
517,9525,Propel,propelorm,PHP,402,247,236
527,6178378,WP-API,WP-API,PHP,266,227,221
547,59636,PHProjekt,Mayflower,PHP,381,128,113
559,3219054,FOSElasticaBundle,FriendsOfSymfony,PHP,351,222,217
565,29643,phpseclib,phpseclib,PHP,304,297,290
566,35079,croogo,croogo,PHP,359,296,259
570,595203,drush,drush-ops,PHP,306,306,297
579,56050,Faker,fzaninotto,PHP,337,324,301
583,14441,HWIOAuthBundle,hwi,PHP,352,352,286
587,51343,SonataMediaBundle,sonata-project,PHP,343,309,229
601,3409,jigoshop,jigoshop,PHP,326,147,82
609,44436,Board3-Portal,board3,PHP,310,160,157
612,123640,phpspec,phpspec,PHP,310,279,269
619,1430784,framework,qcubed,PHP,268,240,227
631,3377196,ZoneMinder,ZoneMinder,PHP,255,183,168
637,6823666,WikibaseDataModel,wmde,PHP,243,243,236
638,11860,thebuggenie,thebuggenie,PHP,319,47,39
641,3777512,PocketMine-MP,PocketMine,PHP,290,277,144
642,3358082,fof,akeeba,PHP,300,213,198
649,46880,SonataPageBundle,sonata-project,PHP,303,297,228
657,12695,monolog,Seldaek,PHP,288,251,217
668,51965,sandbox,sonata-project,PHP,292,288,75
686,15241,phing,phingofficial,PHP,244,171,167
691,29078,SonataUserBundle,sonata-project,PHP,293,245,200
697,18336,ZfcUser,ZF-Commons,PHP,296,57,56
708,11371,Bonfire,ci-bonfire,PHP,293,18,1
713,1911,PHP_CodeSniffer,squizlabs,PHP,256,250,1
715,25681,NelmioApiDocBundle,nelmio,PHP,293,292,246
721,17519,assetic,kriswallsmith,PHP,286,210,182
734,3208,ua-parser,tobie,PHP,283,226,223
736,23203,magento2,magento,PHP,209,33,30
741,4796618,webtrees,fisharebest,PHP,212,35,32
745,56659,Behat,Behat,PHP,268,240,160
746,6427224,xe-core,xpressengine,PHP,219,218,216
780,3425,SonataDoctrineORMAdminBundle,sonata-project,PHP,254,249,147
781,2420627,browscap,browscap,PHP,235,234,233
782,37723,common,doctrine,PHP,257,192,110
791,2747076,joomla-framework,joomla,PHP,261,261,260
801,6436054,ecommerce,sonata-project,PHP,229,228,224
804,80421,LiipImagineBundle,liip,PHP,239,222,179
812,3254365,zf1,zendframework,PHP,218,186,186
814,66865,VisitorChat,unl,PHP,250,249,143
865,248963,imbo,imbo,PHP,228,216,175
873,16245,FOSCommentBundle,FriendsOfSymfony,PHP,227,161,99
884,27490,DoctrineModule,doctrine,PHP,216,199,163
886,717057,fwdays,stfalcon,PHP,217,137,134
889,16927,candycane,yandod,PHP,222,185,116
914,101039,KnpBundles,KnpLabs,PHP,211,182,95
919,35155,Imagine,avalanche123,PHP,204,155,120
