Id,proj_id,repo_name,owner_login,language,n_pr,n_ci_after,n_ci_after_tested
9,10252,commcare-hq,dimagi,Python,4728,4560,4277
11,28763,#NAME?,tgstation,Python,3680,2081,2039
26,961,ipython,ipython,Python,3412,2342,2320
32,9793,sympy,sympy,Python,3303,1952,1920
37,27329,pandas,pydata,Python,3036,1364,1354
40,6368,kuma,mozilla,Python,2783,873,803
42,18217,zamboni,mozilla,Python,2696,374,372
45,860,bedrock,mozilla,Python,2440,81,79
46,772,socorro,mozilla,Python,2474,199,196
49,5854,kitsune,mozilla,Python,2212,628,621
59,8127,matplotlib,matplotlib,Python,2131,1498,1464
78,127,addon-sdk,mozilla,Python,1666,950,40
79,1043,django-cms,divio,Python,1632,1263,1187
80,1799,Theano,Theano,Python,1711,1008,977
82,5497780,onepercentclub-site,onepercentclub,Python,1653,1555,1501
84,956098,virt-test,autotest,Python,1637,272,271
94,3290625,configuration,edx,Python,1452,685,672
95,3816,boto,boto,Python,1525,1028,198
99,23052,buildbot,buildbot,Python,1331,481,470
102,9315494,deis,deis,Python,1154,1154,565
121,22841,django-rest-framework,tomchristie,Python,1127,1018,997
123,3219077,ka-lite,learningequality,Python,1105,362,331
124,5573316,cryptography,pyca,Python,1165,1163,1155
126,7537,kivy,kivy,Python,1125,896,4
133,11688174,robottelo,SatelliteQE,Python,1048,873,863
136,4023,ralph,allegro,Python,1116,588,422
148,9801225,zds-site,zestedesavoir,Python,846,608,592
149,19428,mne-python,mne-tools,Python,1060,450,446
154,63123,iris,SciTools,Python,1043,875,862
155,218181,ome-documentation,openmicroscopy,Python,1025,835,822
156,390,requests,kennethreitz,Python,1064,874,535
168,8277685,OTM2,OpenTreeMap,Python,953,2,1
172,2294498,pylearn2,lisa-lab,Python,893,810,803
174,8024,eden,flavour,Python,881,15,14
179,1282,pyramid,Pylons,Python,896,577,268
183,3963440,otter,rackerlabs,Python,738,0,0
184,1344612,scikit-image,scikit-image,Python,866,579,573
187,2909103,vumi-go,praekelt,Python,823,620,619
188,39891,ninja-ide,ninja-ide,Python,946,269,261
191,5455,youtube-dl,rg3,Python,797,645,627
193,27142,pip,pypa,Python,795,707,646
196,215558,remo,mozilla,Python,855,6,6
198,3105682,c2cgeoportal,camptocamp,Python,831,377,374
204,7976200,erpnext,frappe,Python,737,438,422
226,4571553,play1,playframework,Python,803,0,0
227,7770,pelican,getpelican,Python,788,551,523
230,418,sunpy,sunpy,Python,767,636,499
232,1386,statsmodels,statsmodels,Python,739,541,530
246,56186,nipype,nipy,Python,739,407,168
278,82195,Addon-Tests,mozilla,Python,698,19,19
281,26624,celery,celery,Python,678,492,121
297,41728,vumi,praekelt,Python,636,278,275
300,20381,numerical_computing,byuimpact,Python,626,61,60
302,8809028,edx-ora2,edx,Python,628,628,622
305,896266,luigi,spotify,Python,430,380,374
308,50013,OpenSlides,OpenSlides,Python,577,521,518
310,1368068,pulp_rpm,pulp,Python,590,0,0
316,5342282,nikola,getnikola,Python,582,506,499
317,9982829,Pillow,python-pillow,Python,583,553,536
320,2560242,topaz,topazproject,Python,629,428,426
322,19371,web2py,web2py,Python,532,473,466
323,9499997,OpenBazaar,OpenBazaar,Python,516,404,395
