Id,proj_id,repo_name,owner_login,language,n_pr,n_ci_after,n_ci_after_tested
1,1334,rails,rails,Ruby,10829,7369,3447
3,9570147,homebrew-cask,caskroom,Ruby,6353,6225,6116
14,312,katello,Katello,Ruby,4498,3567,2099
20,853,metasploit-framework,rapid7,Ruby,3844,2843,2785
27,847,puppet,puppetlabs,Ruby,3290,2779,1911
31,424371,calcentral,ets-berkeley-edu,Ruby,3118,3059,2967
33,9427,spree,spree,Ruby,3080,2630,413
38,6026,gitlabhq,gitlabhq,Ruby,2925,2907,2019
48,3486433,ggrc-core,reciprocity,Ruby,2016,0,0
54,1545591,openproject,opf,Ruby,2148,2028,1900
57,2093,fog,fog,Ruby,2211,1509,1481
67,42952,whitehall,alphagov,Ruby,1830,1696,1
69,2812,diaspora,diaspora,Ruby,1894,995,947
71,21603,otwarchive,otwcode,Ruby,1881,645,634
92,8052452,logstash,elasticsearch,Ruby,1480,832,96
101,10322399,manageiq,ManageIQ,Ruby,849,730,715
108,3086778,loomio,loomio,Ruby,1436,903,867
112,696102,refinerycms,refinery,Ruby,1406,437,409
114,11379,smart-answers,alphagov,Ruby,1264,469,2
122,6801328,jekyll,jekyll,Ruby,1321,1103,1055
134,230961,homebrew-science,Homebrew,Ruby,819,0,0
135,6815,vagrant,mitchellh,Ruby,1195,811,799
140,24397,linguist,github,Ruby,1089,955,921
142,489,active_merchant,Shopify,Ruby,1170,910,843
151,17635,rSENSE,isenseDev,Ruby,1136,665,657
157,7347,Markus,MarkUsProject,Ruby,1052,1,1
158,12031,rubinius,rubinius,Ruby,1070,928,602
180,6146926,exercism.io,exercism,Ruby,910,769,763
181,46357,rspec-core,rspec,Ruby,914,836,698
197,35378,sensu-community-plugins,sensu,Ruby,784,580,574
202,3825551,bundler,bundler,Ruby,832,324,308
205,4068,jruby,jruby,Ruby,766,641,531
206,687922,rubocop,bbatsov,Ruby,775,772,765
210,45614,puppetlabs-apache,puppetlabs,Ruby,761,631,590
216,5591,facter,puppetlabs,Ruby,812,431,422
221,17802,mongoid,mongoid,Ruby,822,605,361
229,12703,chiliproject,chiliproject,Ruby,819,627,553
242,3056066,www.ruby-lang.org,ruby,Ruby,690,467,430
247,1896,progit,progit,Ruby,761,512,507
249,13860,ruby,ruby,Ruby,697,637,512
254,12258,devise,plataformatec,Ruby,704,583,340
255,59519,frontend,alphagov,Ruby,689,326,148
257,6261105,homebrew-versions,caskroom,Ruby,516,179,156
259,3479,github-services,github,Ruby,713,646,71
273,3822467,pp-puppet,alphagov,Ruby,636,615,613
277,11019,padrino-framework,padrino,Ruby,686,602,466
285,2719,sidekiq,mperham,Ruby,647,630,521
286,3411703,sufia,projecthydra,Ruby,540,491,486
291,5209,octopress,imathis,Ruby,680,283,259
299,3054,developer.github.com,github,Ruby,595,191,0
301,12885,rails_admin,sferik,Ruby,643,418,253
311,2713,rhc,openshift,Ruby,637,536,511
319,13255,veewee,jedi4ever,Ruby,626,184,182
327,38823,sensu,sensu,Ruby,610,360,271
331,3217567,resque,resque,Ruby,610,192,187
341,7269260,WebsiteOne,AgileVentures,Ruby,588,588,576
349,614053,alaveteli,mysociety,Ruby,522,474,364
359,27439,mongo-ruby-driver,mongodb,Ruby,533,409,394
360,4959838,beaker,puppetlabs,Ruby,458,440,304
363,9120368,hound,thoughtbot,Ruby,385,216,216
384,16444,easybib-cookbooks,till,Ruby,464,439,433
385,23834,capybara,jnicklas,Ruby,524,366,262
388,185,rspec-mocks,rspec,Ruby,471,455,414
399,2367064,asciidoctor,asciidoctor,Ruby,496,411,401
402,327962,growstuff,Growstuff,Ruby,440,377,361
407,21703,right_link,rightscale,Ruby,494,7,7
411,1301,heroku,heroku,Ruby,390,327,261
415,20429,paperclip,thoughtbot,Ruby,488,400,247
417,9553148,SearchWorks,sul-dlss,Ruby,481,481,473
419,4114,CocoaPods,CocoaPods,Ruby,423,407,349
429,608,errbit,errbit,Ruby,431,389,173
435,20786,bosh,cloudfoundry,Ruby,450,443,427
