Id,proj_id,repo_name,owner_login,language,n_pr,n_ci_after,n_ci_after_tested
15,8196280,spark,apache,Scala,3133,2897,383
17,4135,scala,scala,Scala,4072,445,9
240,1182,scalding,twitter,Scala,714,707,605
261,1953978,sbt,sbt,Scala,687,289,269
263,6653643,scala-js,scala-js,Scala,621,607,272
269,4888521,activator,typesafehub,Scala,558,215,181
289,1648,scalaz,scalaz,Scala,652,583,543
324,2367007,geotrellis,geotrellis,Scala,555,394,389
352,5216326,marathon,mesosphere,Scala,397,377,371
439,7975316,geomesa,locationtech,Scala,349,349,340
518,17971,spray,spray,Scala,395,335,332
520,3331025,scalatest,scalatest,Scala,352,134,134
557,9238192,ivory,ambiata,Scala,264,243,241
569,5217073,summingbird,twitter,Scala,345,241,240
591,6515823,adam,bigdatagenomics,Scala,302,179,5
595,25213,slick,slick,Scala,325,168,164
661,12558,framework,lift,Scala,293,0,0
677,1041,zipkin,twitter,Scala,312,309,172
737,6957,shark,amplab,Scala,285,221,0
765,218725,sbt-native-packager,sbt,Scala,228,153,151
792,4239601,sbt-remote-control,sbt,Scala,208,130,119
798,120322,algebird,twitter,Scala,225,218,167
